Line	File	Error
2792	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR127.wav	File not found
2796	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/ET300.wav	File not found
2816	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF247.wav	File not found
2919	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR038.wav	File not found
3009	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/ET079.wav	File not found
3012	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF049.wav	File not found
3020	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR165.wav	File not found
3055	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/pay17.wav	File not found
3076	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE153.wav	File not found
3144	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/ET195.wav	File not found
3177	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE042.wav	File not found
3197	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF267.wav	File not found
3221	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR075.wav	File not found
3229	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR115.wav	File not found
3268	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF002.wav	File not found
3297	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/pay6.wav	File not found
3302	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE174.wav	File not found
3352	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR252.wav	File not found
3456	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/TBG007.wav	File not found
3488	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/pay140.wav	File not found
3506	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/TBG003.wav	File not found
3508	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/ET052.wav	File not found
3540	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF180.wav	File not found
3548	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR006.wav	File not found
3581	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE091.wav	File not found
